EwEVersion,"6.5.13829.0 (compiled 2016-05-17)"
Date,"2016-09-06 18:00:42"
ModelName,Baltic_Proper-SEALS
EcosimScenario,Proper1_SealVuln100_19742100_seal100_cofF1
TimeSeries,new_data_weights_19742100_seal100_codF1
StartYear,1974

Data,FeedingTime

Year,Cyanobacteria,Phytoplankton,microzooplankton,"Temora sp","Acartia sp","Pseudocalanus sp.","other mesozooplankton",Mysids,meiozoobenthos,macrozoobenthos,JuvSprat,AdSprat,JuvHerring,AdHerring,"Cod larvae",JuvCod,"Small Cod",AdCod,SealJuv,SealAd,"Detritus-water column",Detritus-sediment
1974,1,1,1,1,1,1,1,1,1,1,0.7604808,1,0.7583703,1,0.7632537,0.8745168,0.884916,1,0.9540231,0.9757724,1,1
1975,1,1,1,1,1,1,1,1,1,1,0.9022083,1,0.8253841,1,0.9122416,0.8013272,0.6923461,1,0.7644143,0.8225963,1,1
1976,1,1,1,1,1,1,1,1,1,1,0.8730597,1,0.8809206,1,1.846974,0.8497078,0.6374761,1,0.5917988,0.6225258,1,1
1977,1,1,1,1,1,1,1,1,1,1,0.7584939,1,0.7701952,1,1.978699,0.7659025,0.6253898,1,0.520384,0.5236145,1,1
1978,1,1,1,1,1,1,1,1,1,1,0.8760554,1,0.936011,1,2,0.8486969,0.642008,1,0.3547704,0.3408359,1,1
1979,1,1,1,1,1,1,1,1,1,1,0.7658227,1,0.831155,1,2,0.8388254,0.7466616,1,0.2282239,0.2115421,1,1
1980,1,1,1,1,1,1,1,1,1,1,0.6660059,1,0.7026288,1,1.140667,0.7499905,0.7469613,1,0.1897183,0.1754467,1,1
1981,1,1,1,1,1,1,1,1,1,1,0.7238215,1,0.8023119,1,1.111371,0.7056246,0.628025,1,0.2099666,0.1958485,1,1
1982,1,1,1,1,1,1,1,1,1,1,0.7890015,1,1.031337,1,1.993985,0.7741488,0.5596084,1,0.1840905,0.1744387,1,1
1983,1,1,1,1,1,1,1,1,1,1,0.6862555,1,0.7713168,1,1.967826,0.6996464,0.5862914,1,0.1781657,0.1643571,1,1
1984,1,1,1,1,1,1,1,1,1,1,0.7477301,1,0.7706715,1,2,0.6930196,0.5924615,1,0.2099632,0.1933078,1,1
1985,1,1,1,1,1,1,1,1,1,1,1.093226,1,1.173913,1,2,0.7655468,0.6825029,1,0.1882604,0.1755749,1,1
1986,1,1,1,1,1,1,1,1,1,1,0.6793473,1,0.7603912,1,1.065309,0.7153782,0.8444769,1,0.1506557,0.1422255,1,1
1987,1,1,1,1,1,1,1,1,1,1,1.248768,1,1.099164,1,0.7763268,0.649164,0.8204079,1,0.1637624,0.1550534,1,1
1988,1,1,1,1,1,1,1,1,1,1,0.9941993,1,1.128017,1,0.8141582,0.7911654,1.057647,1,0.1522572,0.1445738,1,1
1989,1,1,1,1,1,1,1,1,1,1,0.6186971,1,0.5612497,1,0.4329059,0.5759814,0.8441998,1,0.3148801,0.2836707,1,1
1990,1,1,1,1,1,1,1,1,1,1,0.832747,1,0.7875336,1,0.7701287,0.6392402,0.6730103,1,0.568444,0.558985,1,1
1991,1,1,1,1,1,1,1,1,1,1,1.093502,1,1.184272,1,1.782011,0.7809768,0.7194924,1,0.5904771,0.592225,1,1
1992,1,1,1,1,1,1,1,1,1,1,0.7721178,1,0.8037347,1,1.291973,0.7584596,0.8618025,1,0.6897914,0.6590292,1,1
1993,1,1,1,1,1,1,1,1,1,1,0.8765354,1,0.7224436,1,1.040213,0.6516641,0.7554415,1,0.5772677,0.5634132,1,1
1994,1,1,1,1,1,1,1,1,1,1,0.9693204,1,0.8513045,1,1.921632,0.7228293,0.7351897,1,0.4764584,0.4481532,1,1
1995,1,1,1,1,1,1,1,1,1,1,0.7423756,1,0.7134768,1,1.453119,0.7205676,0.7276893,1,0.4082852,0.3696702,1,1
1996,1,1,1,1,1,1,1,1,1,1,1.172268,1,1.04043,1,1.144716,0.7630091,0.7643496,1,0.3692497,0.3367445,1,1
1997,1,1,1,1,1,1,1,1,1,1,0.991093,1,0.9805036,1,1.424623,0.8224835,0.993893,1,0.3585005,0.3215257,1,1
1998,1,1,1,1,1,1,1,1,1,1,0.7126159,1,0.6410123,1,0.7116674,0.6864124,0.9323491,1,0.4207283,0.3725088,1,1
